"","time","sobs","shannon","simpson","ace","chao"
"1","LOS1-early disease",37,0.343211333333333,0.845465333333333,77.958307,53.9444443333333
"2","LOS1-early post partum",183.5,3.128352,0.0840915,202.708941,200.238182
"3","LOS1-early pre-onset",185,3.065177,0.092087,208.516851,204.84
"4","LOS1-late disease",40,0.572443,0.75016,55.995188,61
"5","LOS1-late pre-onset",73.5,0.822196,0.652367,92.0210545,82.7333335
"6","LOS1-middle disease",69,1.379711,0.338328,98.384908,82.8
"7","LOS1-post disease",45,1.45936825,0.37894,62.8077165,63.275
"8","LOS2-early disease",56,0.539877666666667,0.769790333333333,103.672129666667,75.4588236666667
"9","LOS2-early post partum",177,3.171081,0.078088,196.396931,194.181818
"10","LOS2-early pre-onset",203,3.1477,0.090713,232.301047,233.272727
"11","LOS2-late disease",62,1.322433,0.421598,84.098873,83.1125
"12","LOS2-late pre-onset",15,0.36779,0.813688,41.093616,43
"13","LOS2-middle disease",68,0.899493333333333,0.595025333333333,116.085558333333,118.933333333333
"14","LOS2-post disease",40.6,1.4415274,0.3566766,64.5199948,62.8
"15","LOS3-early disease",35,0.557306,0.7127065,102.189074,57.8333335
"16","LOS3-early post partum",127,1.891036,0.396379,170.435741,160.1944445
"17","LOS3-early pre-onset",106,1.840013,0.306717,147.468482,129.5166665
"18","LOS3-late disease",22,0.33825,0.866585,46.957822,34
"19","LOS3-late pre-onset",42.5,0.6494095,0.740633,61.4177345,58.4545455
"20","LOS3-middle disease",35,1.103695,0.374339,44.410599,40.142857
"21","LOS3-post disease",44.3333333333333,1.50278366666667,0.327280333333333,103.825144333333,59.1777776666667
"22","NEC1-early disease",58.6666666666667,0.566656,0.725933,103.949425666667,88.279762
"23","NEC1-early post partum",191,3.151721,0.108972,206.371491,204.636364
"24","NEC1-early pre-onset",28,0.467931,0.786398,40.244856,41.75
"25","NEC1-late disease",64.6666666666667,1.25113033333333,0.407277666666667,89.118175,81.4333333333333
"26","NEC1-late pre-onset",17,0.492361,0.766331,32.257175,22
"27","NEC1-middle disease",65.2,0.3739664,0.8692418,110.868967,93.4021796
"28","NEC1-post disease",54.25,1.37714075,0.382726,72.051361,65.6875
"29","NEC3-early disease",42,0.7988435,0.6140965,119.077908,73.6875
"30","NEC3-early post partum",193,3.142038,0.080324,225.136752,217.666667
"31","NEC3-early pre-onset",139,1.9780865,0.367605,189.008351,168.3223685
"32","NEC3-late disease",47,0.846156,0.637304,90.709313,69.666667
"33","NEC3-late pre-onset",62.6666666666667,0.952320666666667,0.554474,98.450066,73.3222223333333
"34","NEC3-middle disease",63,0.402619,0.843855,144.535026,117.375
"35","NEC3-post disease",45.75,1.2634095,0.42220475,59.751539,53.21875
"36","NEC4-early disease",30,0.765498,0.685923,34.86724,35
"37","NEC4-early post partum",203,3.181506,0.085709,222.030558,218.535714
"38","NEC4-early pre-onset",38.5,0.874966,0.575406,113.3436615,67.5833335
"39","NEC4-late disease",29,1.444102,0.309928,48.051817,39.5
"40","NEC4-late pre-onset",51,1.115877,0.476439,70.088415,66.111111
"41","NEC4-middle disease",29.4285714285714,1.15327171428571,0.471068714285714,42.401284,37.5714285714286
