"OTU317","OTU57","OTU30","OTU738","OTU736","OTU128","OTU322","OTU25","OTU861","OTU1243","OTU1026","OTU1111","OTU46","OTU729","OTU384","OTU1028","OTU234","OTU730","OTU85","OTU48","OTU19","OTU1041","OTU525","OTU718","OTU1069","OTU870","OTU288","OTU444","OTU84","OTU714","OTU108","OTU325","OTU51","OTU1105","OTU734","OTU728","OTU731","OTU78","OTU228","OTU401","OTU724","OTU1184","OTU1113","OTU125","OTU1021","OTU274","OTU802","OTU752","OTU862","OTU533","OTU789","OTU743","OTU86","OTU692","OTU885","OTU122","OTU698","OTU34","OTU769","OTU89","OTU889","OTU261","OTU29","OTU82","OTU774","OTU37","OTU999","OTU810","OTU707","OTU1001","OTU795","OTU427","OTU869"
"control11-early pre-onset",0,3.57219404158034e-05,0.0010359362720583,0,0,3.57219404158034e-05,0,0.0422947774523112,0,7.14438808316068e-05,0.00010716582124741,0,0,0,3.57219404158034e-05,3.57219404158034e-05,0,0,0,0.00471529613488605,0,3.57219404158034e-05,0,3.57219404158034e-05,0.00010716582124741,0,0,0,0,3.57219404158034e-05,0,0.000142887761663214,0.000642994927484461,0,0,0,0,0,0,0,7.14438808316068e-05,0,0,0,3.57219404158034e-05,0,3.57219404158034e-05,0,0.0735157533757234,0,0.000178609702079017,0,0.000178609702079017,0,0,0,0,0.00010716582124741,0,0,0,0,0.873794384510967,3.57219404158034e-05,0,0,0.000142887761663214,3.57219404158034e-05,0.000178609702079017,0,7.14438808316068e-05,3.57219404158034e-05,0.000178609702079017
"control11-late pre-onset",0,0,0.00021433164249482,0,0,0,3.57219404158034e-05,0.000250053582910624,0,0.00010716582124741,0,3.57219404158034e-05,0,0,0,0,0,0,0,0.0356504965349718,0,3.57219404158034e-05,0,3.57219404158034e-05,0,0,0,0,0,0,0,3.57219404158034e-05,0.000750160748731871,0.00010716582124741,0,0,0,0,0,0,0.00021433164249482,0,0,0,0,0,0,0,0.0808744731013789,0,0.00021433164249482,0,0,0,0,0,0.000392941344573837,3.57219404158034e-05,0,0,0,0,0.880010002143316,0,0,7.14438808316068e-05,3.57219404158034e-05,0,0.000321497463742231,3.57219404158034e-05,0,0,0
"control12-early disease",0,3.57219404158034e-05,0.000750160748731871,0.00010716582124741,0,3.57219404158034e-05,0,0.0129670643709366,0,0,0,0,3.57219404158034e-05,0,0,3.57219404158034e-05,0.00021433164249482,0,0,0.00507251553904408,0.00657283703650782,0,0,0.0729084803886547,0.000178609702079017,0,3.57219404158034e-05,0,0,0.000321497463742231,0,0.000250053582910624,0.000142887761663214,0,0,0,0,0,0,0,0.019432735586197,0,0,0,0,0,0,7.14438808316068e-05,0.0147531613917268,3.57219404158034e-05,3.57219404158034e-05,0,3.57219404158034e-05,0.00464385225405444,0,3.57219404158034e-05,0,7.14438808316068e-05,0.501071658212474,0,3.57219404158034e-05,3.57219404158034e-05,0.126777166535686,0,0,7.14438808316068e-05,7.14438808316068e-05,3.57219404158034e-05,0,7.14438808316068e-05,0,7.14438808316068e-05,0.000142887761663214
"control12-early post partum",0.00128598985496892,0.0021433164249482,0.333107094377367,0,0.00146459955704794,0.0084303779381296,0.00250053582910624,7.14438808316068e-05,0.000678716867900264,0.000142887761663214,0.0214688861898978,0.00250053582910624,0.0139315567621633,0.012359791383868,0.00132171179538473,0.00539401300278631,0.0561191683932271,0.00335786239908552,0.00389369150532257,0.000357219404158034,0,0.00482246195613346,0.0021075944845324,0.000178609702079017,0.085946988640423,0.00217903836536401,0.00225048224619561,7.14438808316068e-05,0.00260770165035365,0.0108237479459884,0.000928770450810888,0.0864113738658284,3.57219404158034e-05,0.00217903836536401,0.000785882689147674,0.00146459955704794,3.57219404158034e-05,0.000750160748731871,0.00142887761663214,0.00625133957276559,0.0010716582124741,7.14438808316068e-05,0.00167893119954276,0.00810888047438737,0.00132171179538473,0.00160748731871115,0.00142887761663214,0.00685861255983425,0.000821604629563478,0.00725155390440809,0.00896620704436665,0.00832321211688219,0.0304350932342645,3.57219404158034e-05,0.01489604915339,0.0193612917053654,0.000357219404158034,0.0207901693219976,0.000285775523326427,0.00885904122311924,0.0263270700864471,0.00446524255197542,0.00850182181896121,0.0021433164249482,7.14438808316068e-05,0.00682289061941845,0.0415446167035793,0.0102879188397514,7.14438808316068e-05,0.0185039651353862,0.010359362720583,0.0109309137672358,7.14438808316068e-05
"control12-early pre-onset",0.000125026791455312,0.000250053582910624,0.0483853682932057,0.000125026791455312,0.000250053582910624,0.00126812888476102,0.000285775523326427,0.275684075158963,0.011270272201186,8.93048510395085e-05,0.00310780881617489,0.00094663142101879,0.00160748731871115,0.00169679216975066,0.000178609702079017,0.000642994927484461,0.00871615346145603,0.000446524255197542,0.000392941344573837,0.00139315567621633,0.015074658855469,0.000928770450810888,0.00010716582124741,0.00221476030577981,0.0100557262270487,0.000375080374365936,0.000339358433950132,0.000250053582910624,0.000250053582910624,0.00555476173465743,0.000178609702079017,0.0134135886261342,0.000196470672286919,0.000267914553118525,0.000142887761663214,0.00021433164249482,1.78609702079017e-05,0.00021433164249482,0.00021433164249482,0.000821604629563478,0.000517968136029149,1.78609702079017e-05,0.000500107165821247,0.00117882403372151,0.000142887761663214,8.93048510395085e-05,0.000250053582910624,0.00100021433164249,0.0504572408373223,0.000803743659355576,0.00241123097806673,0.00116096306351361,0.00457240837322283,0.00157176537829535,0.00189326284203758,0.00291133814388798,3.57219404158034e-05,0.00334000142887762,0.0107523040651568,0.00112524112309781,0.00385796956490677,0.000696577838108166,0.449328427520183,0.000178609702079017,1.78609702079017e-05,0.00112524112309781,0.00589412016860756,0.00150032149746374,5.35829106237051e-05,0.00223262127598771,0.00144673858684004,0.00144673858684004,0.000125026791455312
"control12-late pre-onset",0,0,0.00121454597413732,0.00175037508037437,0,0,0,0.00378652568407516,0,0,0,0,3.57219404158034e-05,7.14438808316068e-05,0,0,0.000178609702079017,0,0,0.0217546617132243,0.000464385225405444,0,0,0.0430449382010431,0.000321497463742231,0,0,0,0,0,0,0.000142887761663214,0.000500107165821247,0,0,0,0,0,0,0,0.01089519182682,0,0,0,0,0,0,0,0.0659069800671572,0,3.57219404158034e-05,0,3.57219404158034e-05,0.00100021433164249,3.57219404158034e-05,3.57219404158034e-05,0,0,0.0877688076016289,0,0,0,0.639887118668286,0,0,0,0.000250053582910624,7.14438808316068e-05,0,0,7.14438808316068e-05,0.00010716582124741,0.000357219404158034
"control13-early disease",0,0,0.000464385225405444,0,0,3.57219404158034e-05,0,0.000178609702079017,3.57219404158034e-05,0,3.57219404158034e-05,0,3.57219404158034e-05,3.57219404158034e-05,3.57219404158034e-05,0,0.000142887761663214,3.57219404158034e-05,3.57219404158034e-05,0.357469457740944,0.00353647210116454,7.14438808316068e-05,0,0.0704079445595485,7.14438808316068e-05,3.57219404158034e-05,3.57219404158034e-05,0,0,0.000357219404158034,0,0.00021433164249482,7.14438808316068e-05,0,0,0,0,0,0,0,0.0170393655783382,0,0,0,0,0,0,0,0.0405801243123526,0,0,0,0.000142887761663214,7.14438808316068e-05,0,3.57219404158034e-05,0,0,0.0662641994713153,0,0,0,0.347503036364935,0,0,0,3.57219404158034e-05,3.57219404158034e-05,0.00010716582124741,0,0,3.57219404158034e-05,7.14438808316068e-05
"control13-early post partum",5.35829106237051e-05,7.14438808316068e-05,0.0256662141887547,5.35829106237051e-05,0.00010716582124741,0.000410802314781739,0.000142887761663214,0.000875187540187183,0.388101021647496,8.93048510395085e-05,0.0010359362720583,0.00021433164249482,0.000642994927484461,0.000696577838108166,8.93048510395085e-05,0.000428663284989641,0.00189326284203758,0.00010716582124741,0.000250053582910624,1.78609702079017e-05,0,0.000446524255197542,8.93048510395085e-05,1.78609702079017e-05,0.00496534971779667,5.35829106237051e-05,0.000160748731871115,0.0791955419018361,0.000125026791455312,0.00083946559977138,0.000375080374365936,0.00491176680717297,7.14438808316068e-05,7.14438808316068e-05,5.35829106237051e-05,7.14438808316068e-05,0,7.14438808316068e-05,0.00010716582124741,0.000285775523326427,5.35829106237051e-05,0.140422947774523,0.00010716582124741,0.000553690076444952,3.57219404158034e-05,1.78609702079017e-05,5.35829106237051e-05,0.000446524255197542,8.93048510395085e-05,0.000446524255197542,0.000875187540187183,0.000303636493534329,0.00192898478245338,3.57219404158034e-05,0.000750160748731871,0.000392941344573837,0,0.000893048510395085,1.78609702079017e-05,0.000392941344573837,0.00121454597413732,0.000125026791455312,0.00146459955704794,0.000160748731871115,0.00135743373580053,0.000321497463742231,0.00221476030577981,0.000750160748731871,5.35829106237051e-05,0.000803743659355576,0.000571551046652854,0.000375080374365936,0
"control13-early pre-onset",0.000196470672286919,1.78609702079017e-05,0.0229692076873616,3.57219404158034e-05,7.14438808316068e-05,0.000303636493534329,5.35829106237051e-05,0.128313209973566,0.0798385368293206,5.35829106237051e-05,0.0010537972422662,0.000607272987068658,0.000857326569979281,0.00094663142101879,0.000178609702079017,0.000464385225405444,0.00375080374365936,0.000321497463742231,0.000160748731871115,0.00262556262056155,0.000428663284989641,0.000392941344573837,0.000178609702079017,7.14438808316068e-05,0.00442952061155962,0.000232192612702722,8.93048510395085e-05,0.0144495248981925,8.93048510395085e-05,0.011448881903265,0.000250053582910624,0.00676930770879474,0.000160748731871115,0.167017932414089,3.57219404158034e-05,0.00010716582124741,0,3.57219404158034e-05,5.35829106237051e-05,0.000392941344573837,8.93048510395085e-05,5.35829106237051e-05,3.57219404158034e-05,0.000642994927484461,0.00010716582124741,3.57219404158034e-05,8.93048510395085e-05,0.000500107165821247,0.0512252625562621,0.000303636493534329,0.00487604486675716,0.000375080374365936,0.0021433164249482,0.00200042866328499,0.000857326569979281,0.00117882403372151,1.78609702079017e-05,0.00144673858684004,1.78609702079017e-05,0.000535829106237051,0.00167893119954276,0.000392941344573837,0.460723726512824,0.000142887761663214,5.35829106237051e-05,0.000392941344573837,0.00244695291848253,0.000696577838108166,0,0.00112524112309781,0.000517968136029149,0.000928770450810888,1.78609702079017e-05
"control13-late pre-onset",0,3.57219404158034e-05,0.000571551046652854,0,0,0,3.57219404158034e-05,0.0118596842180467,7.14438808316068e-05,0,0,0,0,0,0,3.57219404158034e-05,3.57219404158034e-05,0,0,0.118811173822962,0.00257197970993784,0,0,0.0292205472601272,3.57219404158034e-05,0,3.57219404158034e-05,0,0,7.14438808316068e-05,0,0.00021433164249482,0.000464385225405444,0,0,0,0,3.57219404158034e-05,0,0,0.041973279988569,0,0,0,0,0,0,3.57219404158034e-05,0.0749446309923555,0,0,0,0,0.00564406658569694,0,0,3.57219404158034e-05,0,0.0304350932342645,7.14438808316068e-05,3.57219404158034e-05,0,0.650889476316354,0,0,0,3.57219404158034e-05,0,7.14438808316068e-05,3.57219404158034e-05,0,0,7.14438808316068e-05
"control14-early disease",0,0,0.000857326569979281,0,0,0,3.57219404158034e-05,0.000142887761663214,3.57219404158034e-05,0.0497606629992141,0,0,3.57219404158034e-05,3.57219404158034e-05,0,0,0,0,0,0.00021433164249482,0.000571551046652854,3.57219404158034e-05,0,0.0684789597770951,3.57219404158034e-05,0,0,0,3.57219404158034e-05,0.00957348003143531,0,0.000178609702079017,0.010537972422662,0,0,0,0,0,0,0,0.0164678145316854,0,0,0,0,0,0,0,0.00310780881617489,3.57219404158034e-05,0.727262984925341,0,0.00010716582124741,0.000535829106237051,0,0,0,3.57219404158034e-05,0,0,0,0,0.104522397656641,0,0,7.14438808316068e-05,0.00010716582124741,0,0.000285775523326427,3.57219404158034e-05,3.57219404158034e-05,7.14438808316068e-05,0
"control14-early post partum",0.00446524255197542,0.00339358433950132,0.294384510966636,0,7.14438808316068e-05,0.00650139315567622,0.00189326284203758,0.000142887761663214,3.57219404158034e-05,7.14438808316068e-05,0.0402229049081946,0,0.0250053582910624,0.00925198256769308,0.00542973494320211,0.00503679359862828,0.0011073801528899,0,0.00182181896120597,0.000250053582910624,0,0.00689433450025005,0.00521540330070729,7.14438808316068e-05,0.0876259198399657,0.004179467028649,0.00221476030577981,0,0.00793027077230835,0.0020718725441166,7.14438808316068e-05,0.0480817317996714,0.000285775523326427,0.00217903836536401,0.00010716582124741,0,0,0.00460813031363864,0.00325069657783811,0.00021433164249482,0.000535829106237051,0,0.0021433164249482,0.0112881331713939,0.00682289061941845,0.00450096449239123,0.0042509109094806,0.000285775523326427,0.000250053582910624,0.0083946559977138,0.00182181896120597,0.000285775523326427,0.0753732942773451,7.14438808316068e-05,0.0137172251196685,0.00121454597413732,7.14438808316068e-05,0.0557976709294849,0,7.14438808316068e-05,0.0391512466957205,0.00810888047438737,0.00789454883189255,0.00267914553118525,0,0.0196470672286919,0.0244338072444095,0.00557262270486533,0.000357219404158034,0.0334000142887762,0.0281131671072373,0.0231835393298564,0
"control14-early pre-onset",3.57219404158034e-05,0,0.00250053582910624,0,0,3.57219404158034e-05,7.14438808316068e-05,0.0183253554333071,0.000142887761663214,0,0.000392941344573837,0,0.000285775523326427,0,0,3.57219404158034e-05,0,0,0,0.0119311280988783,0.0224333785811245,0,3.57219404158034e-05,0,0.000392941344573837,0,0,0,7.14438808316068e-05,0.000571551046652854,0,0.000357219404158034,0,3.57219404158034e-05,0,0,0,3.57219404158034e-05,0,0,0.937486604272344,3.57219404158034e-05,0,0.000178609702079017,0.00010716582124741,0,3.57219404158034e-05,0,3.57219404158034e-05,0.00010716582124741,0,0,0.000785882689147674,3.57219404158034e-05,0.000178609702079017,0,0,0.000678716867900264,0,0,0.00010716582124741,3.57219404158034e-05,7.14438808316068e-05,3.57219404158034e-05,0,0,0.000250053582910624,7.14438808316068e-05,0,0.000571551046652854,0.000321497463742231,7.14438808316068e-05,0
"control14-late pre-onset",0,0,0.00021433164249482,0,0,3.57219404158034e-05,0,0,3.57219404158034e-05,0.0278988354647424,3.57219404158034e-05,0,0,3.57219404158034e-05,0,0,0,0,0,3.57219404158034e-05,0.00021433164249482,0,3.57219404158034e-05,0.0103236407801672,3.57219404158034e-05,0,0,0,0,0.00482246195613346,0,0,0.00592984210902336,3.57219404158034e-05,0,0,0,0,3.57219404158034e-05,0,0.00596556404943917,0,0,0,0,0,0,0,0.0138958348217475,3.57219404158034e-05,0.469886404229478,0,0.000142887761663214,7.14438808316068e-05,0,0,0,3.57219404158034e-05,0,0,3.57219404158034e-05,0,0.45684789597771,0,0,3.57219404158034e-05,3.57219404158034e-05,0,0.00182181896120597,0,3.57219404158034e-05,0,0
"control15-early disease",0,0,0.000238146269450597,0,0,1.19073134600271e-05,0,0.00681098330713724,5.95365673715796e-05,1.19073134600271e-05,0,0,0,0,0,0,4.76292538758305e-05,0,0,0.162165702186183,0.00222666761913267,0,1.19073134600271e-05,0,7.14438808316068e-05,0,0,1.19073134600271e-05,0,7.14438808316068e-05,0,8.33511942916339e-05,0.000321497463742231,0,0,1.19073134600271e-05,2.38146269557762e-05,0,0,0.000178609702079017,0.00021433164249482,0,0,0,0,0,0,4.76292538758305e-05,0.0765283036722155,0,1.19073134600271e-05,3.57219404158034e-05,0,1.19073134600271e-05,2.38146269557762e-05,2.38146269557762e-05,0,1.19073134600271e-05,1.19073134600271e-05,8.33511942916339e-05,2.38146269557762e-05,1.19073134600271e-05,0.748255578695435,1.19073134600271e-05,0,0,4.76292538758305e-05,0,0.000476292538758305,0,0,1.19073134600271e-05,0
"control15-early post partum",0.00375080374365936,0.00289347717368007,0.340644423805101,0,0,0.00642994927484461,0.00310780881617489,0,0.00021433164249482,3.57219404158034e-05,0.0411873972994213,0,0.0248267485889834,0.0107523040651568,0.00557262270486533,0.00542973494320211,0.00189326284203758,0,0.00221476030577981,0.000535829106237051,0,0.00696577838108166,0.00589412016860756,7.14438808316068e-05,0.0316853611488176,0.00332214045866971,0.00603700793027077,0,0.0074301636064871,0.00221476030577981,3.57219404158034e-05,0.0450810888047439,0.000142887761663214,0.00250053582910624,0.000142887761663214,3.57219404158034e-05,0.000428663284989641,0.00482246195613346,0.00300064299492748,0.000357219404158034,0.000464385225405444,0.00010716582124741,0.00221476030577981,0.00993069943559334,0.00546545688361792,0.00400085732656998,0.0042509109094806,0.000428663284989641,0.00171465313995856,0.014538829749232,0.00575123240694435,0.000285775523326427,0.074123026362792,7.14438808316068e-05,0.00968064585268272,0.0011073801528899,3.57219404158034e-05,0.065406872901336,0,7.14438808316068e-05,0.0197185111095235,0.0073587197256555,0.0152889904979638,0.00257197970993784,0,0.0222547688790455,0.0218261055940559,0.0083946559977138,0.000428663284989641,0.029613488604701,0.0283632206901479,0.0241837536614989,3.57219404158034e-05
